,UTCtimestamps,timestamp,open,high,low,close,volume,vwap
207,1.40039E+12,2014-05-18 00:00:00-04:00,38.144,41.552,38,41.46,128217390,39.95619
208,1.40099E+12,2014-05-25 00:00:00-04:00,41.704,42.96,41.052,41.554,100618650,42.0622
209,1.4016E+12,2014-06-01 00:00:00-04:00,41.466,42.162,40.0792,41.6342,95495920,41.1344
210,1.4022E+12,2014-06-08 00:00:00-04:00,41.59,41.998,39.8502,41.284,99292130,40.94035
211,1.4028E+12,2014-06-15 00:00:00-04:00,41.352,47.108,41.252,45.918,236040980,45.37348
212,1.40341E+12,2014-06-22 00:00:00-04:00,45.902,48.376,45.644,47.812,162231570,47.30244
213,1.40401E+12,2014-06-29 00:00:00-04:00,47.91,48.898,44.8,45.85,111883160,47.06611
214,1.40462E+12,2014-07-06 00:00:00-04:00,45.5,45.956,42.854,43.626,130186545,44.06635
215,1.40522E+12,2014-07-13 00:00:00-04:00,43.998,45.758,42.72,44.004,129516375,44.17177
216,1.40583E+12,2014-07-20 00:00:00-04:00,43.45,45.394,43.344,44.714,79926300,44.48663
217,1.40643E+12,2014-07-27 00:00:00-04:00,44.85,47.5,44.208,46.654,172398810,45.68397
218,1.40704E+12,2014-08-03 00:00:00-04:00,46.876,51.3376,46.654,49.626,165907195,49.14633
219,1.40764E+12,2014-08-10 00:00:00-04:00,51.096,53.128,50.916,52.402,147060970,52.08217
220,1.40825E+12,2014-08-17 00:00:00-04:00,52.65,53.452,50.324,51.356,99860650,51.56046
221,1.40885E+12,2014-08-24 00:00:00-04:00,51.638,54.4,51.638,53.94,102199260,52.99372
222,1.40946E+12,2014-08-31 00:00:00-04:00,55.1,58.284,54.502,55.478,180739690,56.22644
223,1.41006E+12,2014-09-07 00:00:00-04:00,55.524,57.098,54.732,55.84,104779360,56.2069
224,1.41067E+12,2014-09-14 00:00:00-04:00,54.874,54.88,49.826,51.864,202291375,51.89056
225,1.41127E+12,2014-09-21 00:00:00-04:00,51,51.204,48.942,49.32,131323695,49.84802
226,1.41188E+12,2014-09-28 00:00:00-04:00,48.8,51.3,47.13,51.042,147299950,49.29059
227,1.41248E+12,2014-10-05 00:00:00-04:00,51.826,53.108,47.04,47.382,187662350,50.61864
228,1.41309E+12,2014-10-12 00:00:00-04:00,47.714,47.7926,43.464,45.496,193145035,45.3337
229,1.41369E+12,2014-10-19 00:00:00-04:00,45.344,47.56,45.102,47.048,93601185,46.63636
230,1.4143E+12,2014-10-26 00:00:00-04:00,46.85,48.92,44.062,48.34,160199540,46.86994
231,1.4149E+12,2014-11-02 00:00:00-04:00,48.6,49.512,45.7,48.04,187235380,47.89404
232,1.41551E+12,2014-11-09 00:00:00-05:00,47.822,51.77,47.36,51.736,153688685,49.91425
233,1.41611E+12,2014-11-16 00:00:00-05:00,51.498,51.998,48.434,48.556,137453770,50.02755
234,1.41672E+12,2014-11-23 00:00:00-05:00,49.04,49.944,48.128,48.904,60255010,49.18087
235,1.41732E+12,2014-11-30 00:00:00-05:00,48.232,48.494,44.452,44.742,148714665,45.91602
236,1.41732E+12,2014-11-30 00:00:00-05:00,48.232,48.494,44.452,44.742,148714665,45.91602
237,1.41793E+12,2014-12-07 00:00:00-05:00,44.308,44.972,40.854,41.4,199197020,42.4035
238,1.41853E+12,2014-12-14 00:00:00-05:00,41.858,44.08,38.53,43.858,176996920,41.49621
239,1.41914E+12,2014-12-21 00:00:00-05:00,44,45.7,43.652,45.564,69903810,44.5437
240,1.41974E+12,2014-12-28 00:00:00-05:00,45.38,45.582,42.652,43.862,64408050,44.34088
241,1.42035E+12,2015-01-04 00:00:00-05:00,42.91,43.3,40.842,41.332,113298035,41.946
242,1.42095E+12,2015-01-11 00:00:00-05:00,40.61,41.522,37,38.614,153995685,38.98081
243,1.42156E+12,2015-01-18 00:00:00-05:00,38.774,40.7,37.408,40.258,81038290,39.28808
